,Human,Pig_Chim,Com_Chim,Gibbon,Baboon,Ver_Monkey,Macaca_Thibet,Bor_Oran,Sum_Oran,Gorilla,Cat,Dog,Pig,Sheep,Goat,Cow,Buffalo,Wolf,Tiger,Leopard,Indian_Rhino,White_Rhino,Black_Bear,Brown_Bear,Polar_Bear,Giant_Panda,Rabbit,Hedgehog,Dormouse,Squirrel,Blue_Whale
Cat,519.1655124366738,534.7196848316144,534.6907830278222,528.9913243072244,524.3129212615128,647.1285504146339,582.0111235065924,647.7607090585584,666.0059834569712,516.9231676996448,0.0,246.40884195715157,528.8112490105743,361.1689788762706,355.75102856141734,379.5967393045088,349.9694826525889,227.4225756639253,216.7465413864491,224.6400964215898,518.0813054243772,467.0214592380194,392.3797886990281,473.61391330327587,495.62004568202576,443.7234686127335,363.05439272284053,1936.1097484861957,745.3267434557426,609.2568760907841,413.3177650059872
Dog,539.5467280247484,562.4275033754274,563.1482006705074,517.8565020462735,536.0881899836039,670.5976790498821,602.2920108524842,634.5710882928421,674.0882482644406,507.31861008739,246.40884195715157,0.0,560.4605973114967,412.49569798285233,390.5755309652572,367.4490611417233,318.3994846671154,54.89667392752287,254.34815147045202,230.54276791488562,576.2578147221632,504.56795367206774,382.38788598927135,473.1469855367763,499.37575242972014,460.7320092143141,486.3507708960062,1961.3526277867616,751.7280754989358,621.165013660406,458.15030458106827
Pig,445.903334580596,503.45685757617326,517.5453063958486,415.18445518321585,485.3737807079564,612.8214060949655,494.39607459169156,370.7406219464665,387.36091756737994,557.5366284460629,528.8112490105743,560.4605973114967,0.0,352.5539835833609,364.21231146932246,464.27732075504605,454.0647161902806,563.0755970854019,681.5100791132462,673.0404977091503,384.5119997758582,422.73327351198355,786.2282724930495,892.4477669424253,923.9004243875314,509.14541232236,689.8247141039044,1579.149887124704,428.1240553545108,393.0813250347586,573.7917948677209
Sheep,460.4541154152676,467.27674054370044,491.5740577696339,480.3300028973332,507.8436679675434,588.9470002653426,518.9131933282413,499.7935782119617,515.0896533370328,502.3081570436271,361.1689788762706,412.49569798285233,352.5539835833609,0.0,109.07592327237907,229.62114846401846,275.7122992196064,423.0485362151373,539.0364972229808,521.0117887412184,391.01694260796444,404.2576714827581,640.2767724926182,775.8973241649816,803.3771050397097,537.5797733095123,462.1140821327989,1769.0101193993135,530.0806827099493,383.1287745577485,385.88703506792535
Goat,422.58331431975296,422.43660847507635,455.51927204254804,463.1149268740813,449.870039980056,550.5575713255838,480.7446084875262,499.4814343637464,512.5133691772522,461.9028549687764,355.75102856141734,390.5755309652572,364.21231146932246,109.07592327237907,0.0,232.47162357621403,295.74069838227297,406.63966330159826,522.3181003063864,504.2344725833626,377.1971319861573,369.456800596999,635.2079135328543,769.0173371029782,794.611441680746,570.469621774463,454.9281759678024,1795.7087948658946,535.6881774242022,380.0422734196683,363.4499400289064
Cow,504.84045907310224,518.972531877136,540.7733466487421,509.58330931209366,563.9820155012333,644.8547932872501,594.7896814215574,547.0337803400731,582.6299406830834,482.3564673172828,379.5967393045088,367.4490611417233,464.27732075504605,229.62114846401846,232.47162357621403,0.0,182.94994332440083,385.8067808016028,487.1056070173532,463.66163167475173,539.3018242494675,498.5249020859717,573.731574142619,710.8514221143379,733.1890468873202,517.2906296769131,545.9848017693464,1879.9856838449655,656.9445977416283,532.6680556171456,346.6164492269607
Buffalo,467.56986773643433,509.20903445106825,512.5678704412024,442.7196523091477,529.4408114757665,606.8081665963317,558.0800383204491,496.01884548536924,543.5577487352688,430.2333625507052,349.9694826525889,318.3994846671154,454.0647161902806,275.7122992196064,295.74069838227297,182.94994332440083,0.0,326.83356007115293,435.3746152061289,398.007214486337,523.8886589508918,478.9817722579638,503.58071256898245,633.677418442165,660.0509744839616,432.117055617174,551.285113108602,1901.0187635966242,664.8378161407177,536.9207318298171,383.6281618442787
Wolf,549.6816498643827,577.7996864090721,574.8757177937076,516.0889290586321,548.3605073736862,686.9610341992432,614.0507660490607,637.2799751314584,674.5751501232772,521.4998731399606,227.4225756639253,54.89667392752287,563.0755970854019,423.0485362151373,406.63966330159826,385.8067808016028,326.83356007115293,0.0,229.48582945920114,214.060507334763,589.049614316683,517.5186154812583,366.2845794744764,451.80128209068226,478.0264540583043,441.4337147721232,488.26305948117863,1951.9679237189016,763.2377450584102,639.4545820058788,477.3726693033234
Tiger,615.1566006862832,634.617455603851,625.850582464527,607.2057192060267,608.6252858276226,734.5029164768232,683.9245410770958,749.6539374302369,776.182017909172,564.4543732401181,216.7465413864491,254.34815147045202,681.5100791132462,539.0364972229808,522.3181003063864,487.1056070173532,435.3746152061289,229.48582945920114,0.0,88.80484670228327,678.9263022033593,597.2604576288081,304.9520847128409,331.0432636702545,344.0880416040996,497.28688575683566,493.9371347948596,2078.8639081886004,910.915128999287,777.0489556870637,494.4945484573831
Leopard,592.9937962735946,619.8534193710425,610.8658521954186,586.4832690127517,597.8036011535952,714.3649540894929,673.3114691443072,731.0984341359064,761.3565544944673,533.4674642833846,224.6400964215898,230.54276791488562,673.0404977091503,521.0117887412184,504.2344725833626,463.66163167475173,398.007214486337,214.060507334763,88.80484670228327,0.0,663.3500958512437,587.3134676775059,276.7996280204886,324.8478026606764,340.0111024063646,483.54386940674175,481.83389110078656,2094.2885788618282,894.1181120305451,756.9635799992835,478.9214258150289
